Id;Text;SpriteName;MoneyImpact;psycheImpact;popularityImpact;isEncounter
163;Ты решил добавить больше прожекторов. Из-за обилия света теперь это скорее heaven-metal;;-10;10;-20;False
164;Ты дал барабанщику змей вместо палочек. Нас точно засудят за это.;;0;10;20;False
165;"Барабанщик: ""Если ты по настоящему крут, то победи меня в Street Fister""";drummer;0;0;0;True
166;Ты судорожно жал на все кнопки и проиграл. Get good bro;gamepad_broken;0;10;0;False
167;Проиграв, ты наложил проклятие на барабанщика. Ибо нехер!;gamepad_demon;0;-10;0;False
168;Грегори: «Я устал, нужно отдохнуть немного»;main_character_3;0;0;0;True
169;Ты пошел переспаривать людей в твитере. И правда, что они сделают, отменять тебя?;twitter;0;-10;10;False
170;Ты начал вышивать пентаграммы крестиком. Даже в умиротворяющих вещах должна быть брутальность.;penta;0;10;0;False
171;Басист: «Время обновить тебе образ»;bassist;0;0;0;True
172;Ты заплатил в салоне пол зарплаты за новую прическу. Выглядишь просто… погоди, а в что поменялось?;;-10;10;0;False
173;Твою спину теперь полностью покрывает тату с пентаграммой. Если бы ты не проплакал весь сеанс, то даже выглядил бы круто.;;-20;-10;10;False
174;Грегори: «Я опять растерял все медиаторы…@Нужно купить новых!»;main_character_3;0;0;0;True
175;Ты покупаешь упаковку медиаторов и фирменную коробочку для них.;mediator;-10;10;0;False
176;Ты вытачиваешь ноготь на большом пальце в форме медиатора;mediator-nogot;0;0;10;False
177;Нужно держать связки в форме. Пора сделать пару упражнений!;main_character_3;0;0;0;True
178;Ты претенциозно промычал Авэ Мария. Уверен, ты чувствуешь себя вторым Паваротти после этого.;;0;10;0;False
179;Учась расщеплению ты научился издавать звуки забившегося сортира. По ощущениям, твои связки стали напоминать пустыню покрытую ежами;;0;-10;0;False
180;Ребята выглядят напряженными. Нужно найти способ расслабиться всей группой.;main_character_3;0;0;0;True
181;Ты решаешь поднять дух группы чайной церемонией. Они были довольны, ведь никто не мешал им подливать бухло в чай.;chainik;0;10;0;False
182;Ты предлагаешь сыграть в агрессивные гляделки. В итоге выигрывал барабанщик. Если честно, никто никогда не видел, чтобы он моргал….;drummer;0;-10;0;False
183;Ты видишь дождь за окном.;;0;0;0;True
184;Ты решаешь написать грустный филосовский статус на своей страничке. Меня щас стошнит.;twitter;0;0;-10;False
185;Ты придумываешь новый хит про наводнение грешников реками крови. Я уже вижу рекордные продажи!;guitar_blood;0;0;10;False
186;"Барабанщик:""Твою ж… У меня походу спину защемило. Грегори, можешь помочь?""";Drummer;0;0;0;True
187;Ты встряхнул барабанщику спину, но сломал собственную. Всё ради группы, Грегори, всё ради группы.;;0;-10;0;False
188;Ты привязал барабанщика к дыбе. Не знаю, помогает ли это ему, но он вроде выглядит довольным. Я всегда знал, что они странные.;;0;0;0;False
189;Басист: «Пора написать новую песню!»;bassist;0;0;0;True
190;Ты написал песню про свою бабку из Алабамы. Повезло, что твоя аудитория сама решила найти здесь мрачный подтекст, хлюпик.;guitar_cute;0;0;10;False
191;Кровожадные демоны играют в пинбол на горящем кладбище? Мужик, да ты псих!!!;guitar_blood;0;-10;0;False
192;Тебя попросили сходить за хавчиком для группы;makdak;0;0;0;True
193;Сэндвичи с индейкой… Отлично, еще немного и мы будем играть k-pop;sandwitch;10;-10;0;False
194;Ничего кроме бухла, да? Это по-нашему! ;juck_ganiels;-10;10;0;False
195;Нужна новая фишка для концерта;fishka;0;0;0;True
196;Ты 20 минут корчил лицо перед зеркалом, репетируя самую пугающию гримасу. Теперь даже мне стремно на тебя смотреть.;mirror;0;0;0;False
197;После часа тренировок ты теперь способен выговаривать до 10 похабных слов в секунду. Навык эфектный и бесспорно полезный.;mat;0;10;20;False
198;Шеф говорит, что Оззи снова в моде, нужна летучая мышь!;ozzi;0;0;0;True
199;Ты купил резиновых мышей. В принципе, никто тебя за это не осудит;mice;-10;0;0;False
200;Настоящая мышь? Ты где её взял вообще?;mice;0;0;10;False
201;"Фанат:""Вау, это же ты! Можно твой автограф?""";fan;0;0;0;True
202;Ты расписываешься у парня в блокноте. Он еще долго будет думать, кто нахрен такой Грегори. ;signature_notebook;0;0;-10;False
203;Ты берешь тату-машинку и набиваешь свои неразбочивые инициалы у парня на предплечьи. Ну а что, аккурантей надо быть с желаниями!;signature_tatu;0;0;10;False
204;"Шеф: ""Нужно придумать видеоряд для концерта""";shef;0;0;0;True
205;Ты заснял футажи в центральном парке. Испуганные лица прохожих отлично передают атмосферу.;;0;0;10;False
206;В видеоредакторе ты наложил все адские эффекты, которые смог найти в бесплатном доступе. Даже у самых стойких начнется припадок.;;0;10;0;False
207;Придумать обложку для нового альбома;;0;0;0;True
208;Вашей новой обложкой стал черный круг на белом фоне, изображающий цикличность и бессмысленность нашей Вселенной. Да, когда-то Грегори окончил филфак;;0;10;-10;False
209;Ты обмазал лицо чернилами и ударился об листок. Образ уродливый, отталкивающий и явно мертвый внутри;;0;-10;10;False
210;Шеф: Нужно придумать мерч;shef;0;0;0;True
211;Вы выпустили супер газированную соду, позволяющую издать самую долгую гроул отрыжку;;10;0;0;False
212;"Вы выпустили глазные капли с красным перцем ""взгляд Бафомета""";;0;0;10;False
